year,GDP per capita (USD)
1960,1179.353011
1961,1327.427224
1962,1411.702398
1963,1522.319242
1964,1707.503938
1965,1882.086858
1966,2010.213456
1967,2034.18905
1968,1907.077272
1969,2178.03525
1970,2465.644819
1971,2716.190092
1972,3177.645701
1973,4173.173047
1974,5297.607817
1975,6255.544641
1976,6739.690713
1977,7069.105738
1978,7628.815714
1979,9332.245264
1980,11223.93756
1981,10926.81797
1982,10938.12206
1983,10497.48
1984,10833.86629
1985,11398.10595
1986,14951.04679
1987,18571.05993
1988,22047.79332
1989,23973.23948
1990,28364.64508
1991,25484.73929
1992,22319.05946
1993,17608.81239
1994,20301.33309
1995,26271.59981
1996,25783.45049
1997,24691.87281
1998,26009.26949
1999,26186.19001
2000,24345.91482
2001,24967.79252
2002,26997.75299
2003,32927.68029
2004,37772.17811
2005,39054.85044
2006,41222.602
2007,48476.39273
2008,53772.79424
2009,47481.48454
2010,46505.30318
2011,51148.93164
2012,47708.06128
2013,49892.22336
2014,50327.24029
2015,42801.90812
2016,43814.02651
2017,46412.13648
2018,49987.62616
2019,48629.85823
2020,49169.71934
2021,53489.75202
2022,50536.62447
